ticket_id,title,description,category,priority,assignee_id
1,Сломался компьютер,Оборудование не отвечает,hardware,critical,43
2,Ошибка подключения,Проблемы с Wi-Fi,network,low,46
3,Ошибка в программе,Ошибка при выполнении,software,critical,45
4,Сброс пароля,Ошибка при входе в систему,access,medium,41
5,Блокировка аккаунта,Проблемы с доступом к аккаунту,accounts,high,47
6,Не работает ПО,Ошибка при выполнении,software,critical,45
7,Несанкционированный доступ,Попытка несанкционированного доступа,security,low,40
8,Авторизация,Ошибка при входе в систему,access,critical,41
9,Профилактика,Необходимо обновить ПО,maintenance,medium,44
10,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
11,Проблемы с монитором,Аппаратная ошибка,hardware,low,43
12,Проблемы с доступом,Проблемы с двухфакторной аутентификацией,access,high,41
13,Не работает принтер,Аппаратная ошибка,hardware,medium,43
14,Подозрительная активность,Попытка несанкционированного доступа,security,high,40
15,Блокировка аккаунта,Проблемы с доступом к аккаунту,accounts,medium,47
16,Проблемы с доступом,Ошибка при входе в систему,access,low,41
17,Не работает принтер,Аппаратная ошибка,hardware,low,43
18,Проверка оборудования,Требуется плановая проверка,maintenance,critical,44
19,Сломался компьютер,Оборудование не отвечает,hardware,low,43
20,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
21,Несанкционированный доступ,Попытка несанкционированного доступа,security,high,40
22,Ошибка подключения,Проблемы с Wi-Fi,network,medium,46
23,Не работает принтер,Устройство не включается,hardware,high,43
24,Авторизация,Проблемы с двухфакторной аутентификацией,access,low,41
25,Проблемы с учетной записью,Проблемы с доступом к аккаунту,accounts,high,47
26,Нет интернета,Не работает интернет,network,high,46
27,Обновление системы,Запуск диагностики,maintenance,medium,44
28,Проблемы с безопасностью,Обнаружена подозрительная активность,security,high,40
29,Сломался компьютер,Устройство не включается,hardware,high,43
30,Неопределенная ошибка,Ошибка без подробного описания,undefined,low,42
31,Сломался компьютер,Устройство не включается,hardware,high,43
32,Проблемы с доступом,Не удается сбросить пароль,access,low,41
33,Ошибка в программе,Не удается установить обновление,software,low,45
34,Ошибка подключения,Не работает интернет,network,high,46
35,Несанкционированный доступ,Проблемы с настройками безопасности,security,critical,40
36,Обновление системы,Запуск диагностики,maintenance,low,44
37,Сломался компьютер,Оборудование не отвечает,hardware,high,43
38,Проблемы с сетью,Ошибка сетевого подключения,network,high,46
39,Не работает ПО,Программа не запускается,software,high,45
40,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
41,Не работает принтер,Устройство не включается,hardware,high,43
42,Проблемы с безопасностью,Попытка несанкционированного доступа,security,critical,40
43,Не работает принтер,Аппаратная ошибка,hardware,critical,43
44,Проблемы с доступом,Проблемы с двухфакторной аутентификацией,access,medium,41
45,Проверка оборудования,Запуск диагностики,maintenance,high,44
46,Нет интернета,Ошибка сетевого подключения,network,low,46
47,Проблемы с монитором,Устройство не включается,hardware,high,43
48,Проблемы с доступом,Ошибка при входе в систему,access,medium,41
49,Проблемы с безопасностью,Проблемы с настройками безопасности,security,critical,40
50,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
51,Проблемы с приложением,Ошибка при выполнении,software,high,45
52,Проблемы с доступом,Ошибка при входе в систему,access,high,41
53,Проблемы с монитором,Устройство не включается,hardware,high,43
54,Профилактика,Запуск диагностики,maintenance,medium,44
55,Блокировка аккаунта,Проблемы с доступом к аккаунту,accounts,low,47
56,Несанкционированный доступ,Попытка несанкционированного доступа,security,critical,40
57,Не работает ПО,Ошибка при выполнении,software,critical,45
58,Нет интернета,Проблемы с Wi-Fi,network,medium,46
59,Проблемы с монитором,Оборудование не отвечает,hardware,medium,43
60,Неопределенная ошибка,Ошибка без подробного описания,undefined,critical,42
61,Проблемы с монитором,Аппаратная ошибка,hardware,critical,43
62,Нет интернета,Не работает интернет,network,high,46
63,Обновление системы,Необходимо обновить ПО,maintenance,medium,44
64,Проблемы с доступом,Ошибка при входе в систему,access,high,41
65,Проблемы с учетной записью,Аккаунт заблокирован,accounts,medium,47
66,Ошибка в программе,Не удается установить обновление,software,low,45
67,Проблемы с монитором,Устройство не включается,hardware,high,43
68,Проблемы с доступом,Не удается сбросить пароль,access,critical,41
69,Не работает ПО,Не удается установить обновление,software,high,45
70,Неопределенная ошибка,Ошибка без подробного описания,undefined,medium,42
71,Не работает принтер,Аппаратная ошибка,hardware,medium,43
72,Профилактика,Необходимо обновить ПО,maintenance,critical,44
73,Не работает принтер,Аппаратная ошибка,hardware,low,43
74,Проблемы с сетью,Проблемы с Wi-Fi,network,critical,46
75,Проблемы с учетной записью,Аккаунт заблокирован,accounts,high,47
76,Авторизация,Ошибка при входе в систему,access,critical,41
77,Несанкционированный доступ,Обнаружена подозрительная активность,security,high,40
78,Ошибка в программе,Ошибка при выполнении,software,critical,45
79,Проблемы с монитором,Оборудование не отвечает,hardware,high,43
